trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
72,0,72,0,5,137.83477179899637,137.83477179899637,0.025980220001656562,0.09333333333333334,0.18555555555555556,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
73,0,73,0,5,139.13806751399534,139.13806751399534,0.03504342900123447,-0.4066666666666667,0.15777777777777777,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
74,0,74,0,5,140.30431692699494,140.30431692699494,0.02488447499490576,0.36333333333333334,-0.057777777777777775,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
75,0,75,0,5,141.72097992299678,141.72097992299678,0.02529579999827547,-0.29333333333333333,0.3244444444444444,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
76,0,76,0,5,142.88899501899868,142.88899501899868,0.0251866630060249,-0.2911111111111111,0.017777777777777778,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
77,0,77,0,5,144.15598763099842,144.15598763099842,0.026038342002721038,0.06888888888888889,0.15444444444444444,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
78,0,78,0,10,145.33092494699667,145.33092494699667,0.0472645609988831,-0.11333333333333333,0.1922222222222222,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
79,0,79,0,5,146.43566759199894,146.43566759199894,0.02515865799796302,0.12222222222222222,-0.0033333333333333335,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
80,0,80,0,5,147.48071423800138,147.48071423800138,0.0244608760040137,0.28888888888888886,-0.08222222222222222,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
81,0,81,0,10,148.4763507530006,148.4763507530006,0.048327815005904995,0.27,0.4477777777777778,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
82,0,82,0,10,150.17743150599563,150.17743150599563,0.049140653005451895,-0.008888888888888889,0.30333333333333334,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
83,0,83,0,5,151.13389442799962,151.13389442799962,0.024074067005130928,-0.04777777777777778,-0.43555555555555553,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
84,0,84,0,10,152.93200136199448,152.93200136199448,0.04704725000192411,-0.1322222222222222,-0.044444444444444446,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
85,0,85,0,5,154.27621884999826,154.27621884999826,0.024743580994254444,-0.31666666666666665,0.3433333333333333,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
86,0,86,0,10,155.5776525149995,155.5776525149995,0.045793868994223885,0.3055555555555556,-0.011111111111111112,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
87,0,87,0,10,157.5915945759989,157.5915945759989,0.04773635300080059,-0.2677777777777778,0.17666666666666667,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
88,0,88,0,5,158.9552391929974,158.9552391929974,0.024597323004854843,-0.46444444444444444,-0.28888888888888886,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
89,0,89,0,10,161.05879576000007,161.05879576000007,0.04881494199798908,0.25666666666666665,0.11888888888888889,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
90,0,90,0,10,163.26142513100058,163.26142513100058,0.049004750995663926,-0.28,0.15444444444444444,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
91,0,91,0,5,164.3738040639946,164.3738040639946,0.02494193299935432,0.3322222222222222,0.22,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
