trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
107,0,107,0,5,215.3606042,215.3606042,0.0172098,[-0.48703703703703705],[0.35462962962962963],[1],[0],[0],[1.7450226000510156],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
108,0,108,0,5,217.127903,217.127903,0.0179817,[0.075],[0.49074074074074076],[1],[0],[0],[1.7423181999474764],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
111,0,111,0,5,221.9073711,221.9073711,0.0189033,[0.19166666666666668],[0.08981481481481482],[1],[0],[0],[1.6428127000108361],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
112,0,112,0,5,223.5693198,223.5693198,0.0161813,[-0.41203703703703703],[-0.10277777777777777],[1],[0],[0],[1.645919700153172],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
114,0,114,0,5,226.5190194,226.5190194,0.0181759,[0.09074074074074075],[0.2861111111111111],[1],[0],[0],[1.5102770999073982],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
115,0,115,0,5,228.0588509,228.0588509,0.0237277,[-0.28055555555555556],[-0.19166666666666668],[1],[0],[0],[2.0352383996360004],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
117,0,117,0,5,232.094386,232.094386,0.0169062,[-0.4861111111111111],[0.03425925925925926],[1],[0],[0],[1.8940766002051532],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
118,0,118,0,5,234.0108259,234.0108259,0.0175179,[-0.43148148148148147],[0.31296296296296294],[1],[0],[0],[1.3962770998477936],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
119,0,119,0,5,235.4524717,235.4524717,0.0361555,[-0.06666666666666667],[0.45],[1],[0],[0],[1.3186730002053082],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
121,0,121,0,5,238.3406233,238.3406233,0.0268854,"[0.375, 0.39351851851851855]","[0.2962962962962963, 0.29444444444444445]","[1, 1]","[0, 0]","[0, 0]","[1.7792817000299692, 2.8294612001627684]",['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
122,0,122,0,5,241.2082547,241.2082547,0.0294828,[-0.29259259259259257],[0.09537037037037037],[1],[0],[0],[1.845377099700272],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
126,0,126,0,5,248.3954537,248.3954537,0.0174046,[0.175],[-0.24259259259259258],[1],[0],[0],[1.6939681000076234],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
127,0,127,0,5,250.1109001,250.1109001,0.0171229,[0.11574074074074074],[-0.47685185185185186],[1],[0],[0],[1.4441419998183846],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
129,0,129,0,5,253.2607863,253.2607863,0.0180939,[-0.44722222222222224],[-0.0824074074074074],[1],[0],[0],[1.0428234999999404],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
130,0,130,0,5,254.3409126,254.3409126,0.019089,[0.3101851851851852],[-0.19444444444444445],[1],[0],[0],[1.6080542001873255],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
135,0,135,0,5,262.0924113,262.0924113,0.0372982,[0.39351851851851855],[0.07962962962962963],[1],[0],[0],[1.25407600030303],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
136,0,136,0,5,263.3738662,263.3738662,0.0218241,[-0.25833333333333336],[-0.4601851851851852],[1],[0],[0],[1.4722480000928044],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
138,0,138,0,5,266.82336,266.82336,0.0244633,[-0.412962962962963],[0.2462962962962963],[1],[0],[0],[1.537374900188297],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
143,0,143,0,5,274.7378826,274.7378826,0.0174527,[0.03981481481481482],[0.05],[1],[0],[0],[1.5768569996580482],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
144,0,144,0,5,276.3566952,276.3566952,0.0292417,[0.11296296296296296],[-0.0824074074074074],[1],[0],[0],[1.4187333998270333],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
149,0,149,0,5,286.2765619,286.2765619,0.0170995,[-0.25092592592592594],[-0.40185185185185185],[1],[0],[0],[1.3776526995934546],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
150,0,150,0,5,287.6923877,287.6923877,0.0204736,[-0.48148148148148145],[-0.06481481481481481],[1],[0],[0],[1.625017900019884],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
151,0,151,0,5,289.3244681,289.3244681,0.0170258,[-0.12407407407407407],[-0.44814814814814813],[1],[0],[0],[1.3765481999143958],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
152,0,152,0,5,290.7396792,290.7396792,0.0204298,"[0.023148148148148147, 0.03518518518518519]","[-0.15092592592592594, -0.14629629629629629]","[1, 1]","[0, 0]","[0, 0]","[1.2251701997593045, 2.090510199777782]",['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
